Speed [kmh],Congestion level [%],precipitation,weather_code,hour_sin,hour_cos,Optimal_Lighting_Level
1.4333954683600354,-0.7667044885555486,0.6488421178402772,51,1.0,6.123233995736766e-17,50
0.4341600720377823,-0.1760653297270797,0.2227880933799923,51,0.9659258262890684,-0.2588190451025206,50
0.5862176323476894,-0.2993291541782384,1.5009501667608467,51,0.8660254037844387,-0.4999999999999998,0
0.5644951237319895,-0.3301451102910281,-0.2032659310802924,3,0.7071067811865476,-0.7071067811865475,0
0.4124375634220809,-0.1863373150980096,-0.2032659310802924,3,0.4999999999999999,-0.8660254037844387,0
0.2386574944964723,-0.0322575345340612,-0.2032659310802924,3,0.258819045102521,-0.9659258262890682,0
0.0865999341865637,0.0961422826025624,-0.2032659310802924,2,1.2246467991473532e-16,-1.0,0
-0.0654576261233441,0.1937261436263965,-0.2032659310802924,0,-0.2588190451025208,-0.9659258262890684,0
-0.304405220896057,0.4145738291013891,-0.2032659310802924,0,-0.4999999999999997,-0.8660254037844388,0
-0.4347402725902634,0.5481096389234777,0.2227880933799923,51,-0.7071067811865471,-0.7071067811865479,0
-0.3478502381274591,0.4710697486415036,0.2227880933799923,51,-0.8660254037844384,-0.5000000000000004,0
-0.4564627812059648,0.4043018437304591,-0.2032659310802924,1,-0.9659258262890684,-0.2588190451025206,0
-0.1957926778175512,0.0961422826025624,-0.2032659310802924,1,-1.0,-1.8369701987210294e-16,100
0.0648774255708622,-0.2428332346381241,-0.2032659310802924,0,-0.9659258262890684,0.2588190451025203,50
0.3472700375749781,-0.5150408469677663,-0.2032659310802924,0,-0.8660254037844386,0.5000000000000001,50
0.5644951237319895,-0.720480554386364,-0.2032659310802924,1,-0.7071067811865477,0.7071067811865474,50
0.6296626495790923,-0.8437443788375228,-0.2032659310802924,1,-0.5000000000000004,0.8660254037844384,50
0.8686102443518052,-1.008096144772401,-0.2032659310802924,1,-0.2588190451025215,0.965925826289068,25
0.7599977012732996,-1.12108798385263,-0.2032659310802924,2,0.0,1.0,25
0.6079401409633909,-1.1570399326508845,-0.2032659310802924,2,0.2588190451025207,0.9659258262890684,25
0.9120552615832066,-1.203263866820069,-0.2032659310802924,3,0.4999999999999999,0.8660254037844387,25
1.6288980459013451,-1.2803037571020432,-0.2032659310802924,3,0.7071067811865475,0.7071067811865476,25
2.3022958129880813,-1.2957117351584382,-0.2032659310802924,3,0.8660254037844386,0.5000000000000001,25
2.041625709599667,-1.115951991167165,-0.2032659310802924,3,0.9659258262890684,0.2588190451025207,25
1.4551179769757352,-0.7769764739264785,-0.2032659310802924,3,1.0,6.123233995736766e-17,50
0.4558825806534838,-0.2017452931544044,3.205166264601986,73,0.9659258262890684,-0.2588190451025206,50
0.5644951237319895,-0.3198731249200983,2.7791122401417003,73,0.8660254037844387,-0.4999999999999998,0
0.4993275978848852,-0.2839211761218437,-0.2032659310802924,3,0.7071067811865476,-0.7071067811865475,0
0.2603800031121723,-0.1144334175015004,-0.2032659310802924,3,0.4999999999999999,-0.8660254037844387,0
0.0648774255708622,0.0704623191752377,-0.2032659310802924,2,0.258819045102521,-0.9659258262890682,0
-0.1306251519704477,0.1988621363118612,-0.2032659310802924,1,1.2246467991473532e-16,-1.0,0
-0.3261277295117576,0.3991658510449944,-0.2032659310802924,3,-0.2588190451025208,-0.9659258262890684,0
-0.7171328845943784,0.7535493463420756,-0.2032659310802924,3,-0.4999999999999997,-0.8660254037844388,0
-0.6519653587472749,0.6816454487455664,1.074896142300562,73,-0.7071067811865471,-0.7071067811865479,0
-0.4347402725902634,0.4505257778996439,2.353058215681416,73,-0.8660254037844384,-0.5000000000000004,0
-0.3478502381274591,0.2913100046502304,1.5009501667608467,73,-0.9659258262890684,-0.2588190451025206,0
-0.304405220896057,0.1629101875136068,0.6488421178402772,71,-1.0,-1.8369701987210294e-16,100
-0.1306251519704477,-0.0990254394451055,0.2227880933799923,71,-0.9659258262890684,0.2588190451025203,50
0.0648774255708622,-0.3250091176055631,-0.2032659310802924,0,-0.8660254037844386,0.5000000000000001,50
0.3038250203435751,-0.5458568030805558,-0.2032659310802924,0,-0.7071067811865477,0.7071067811865474,50
0.3038250203435751,-0.6023527226206703,-0.2032659310802924,0,-0.5000000000000004,0.8660254037844384,50
0.4776050892691837,-0.8283364007811279,-0.2032659310802924,0,-0.2588190451025215,0.965925826289068,50
0.542772615116288,-0.9875521740305412,-0.2032659310802924,0,0.0,1.0,50
0.5862176323476894,-1.1005440131107702,-0.2032659310802924,0,0.2588190451025207,0.9659258262890684,25
0.6513851581947938,-1.1416319545944895,-0.2032659310802924,0,0.4999999999999999,0.8660254037844387,25
0.9989452960460125,-1.1929918814491391,-0.2032659310802924,1,0.7071067811865475,0.7071067811865476,25
1.542008011438541,-1.2494878009892536,-0.2032659310802924,1,0.8660254037844386,0.5000000000000001,25
1.5202855028228397,-1.1467679472799548,-0.2032659310802924,1,0.9659258262890684,0.2588190451025207,25
1.1944478735873223,-0.915648276434032,-0.2032659310802924,1,1.0,6.123233995736766e-17,50
1.368227942512931,-0.838608386152058,-0.2032659310802924,1,0.9659258262890684,-0.2588190451025206,50
1.3899504511286325,-0.818064415410198,-0.2032659310802924,0,0.8660254037844387,-0.4999999999999998,0
1.1510028563559196,-0.6793926129026445,-0.2032659310802924,2,0.7071067811865476,-0.7071067811865475,0
0.7382751926575981,-0.4225929786293972,-0.2032659310802924,3,0.4999999999999999,-0.8660254037844387,0
0.3472700375749781,-0.15552135898522,-0.2032659310802924,3,0.258819045102521,-0.9659258262890682,0
0.0648774255708622,0.0447823557479129,-0.2032659310802924,3,1.2246467991473532e-16,-1.0,0
-0.2609602036646549,0.2810380192793004,-0.2032659310802924,3,-0.2588190451025208,-0.9659258262890684,0
-0.3478502381274591,0.3426699315048799,-0.2032659310802924,3,-0.4999999999999997,-0.8660254037844388,0
-0.2609602036646549,0.2348140851101159,-0.2032659310802924,3,-0.7071067811865471,-0.7071067811865479,0
-0.304405220896057,0.2861740119647654,-0.2032659310802924,3,-0.8660254037844384,-0.5000000000000004,0
-0.3261277295117576,0.239950077795581,-0.2032659310802924,3,-0.9659258262890684,-0.2588190451025206,0
-0.2175151864332519,0.0704623191752377,-0.2032659310802924,1,-1.0,-1.8369701987210294e-16,100
-0.0220126088919419,-0.1914733077834746,-0.2032659310802924,1,-0.9659258262890684,0.2588190451025203,50
0.1083224428022652,-0.3558250737183528,-0.2032659310802924,3,-0.8660254037844386,0.5000000000000001,50
0.2821025117278737,-0.540720810395091,-0.2032659310802924,1,-0.7071067811865477,0.7071067811865474,50
0.3255475289592766,-0.6434406641043899,-0.2032659310802924,1,-0.5000000000000004,0.8660254037844384,50
0.5210501065005866,-0.8129284227247331,-0.2032659310802924,3,-0.2588190451025215,0.965925826289068,50
0.5210501065005866,-0.9772801886596112,-0.2032659310802924,3,0.0,1.0,50
0.5210501065005866,-1.1108159984817,-0.2032659310802924,3,0.2588190451025207,0.9659258262890684,25
0.6296626495790923,-1.203263866820069,-0.2032659310802924,3,0.4999999999999999,0.8660254037844387,25
0.933777770198908,-1.2905757424729731,-0.2032659310802924,3,0.7071067811865475,0.7071067811865476,25
1.5202855028228397,-1.3522076546985524,-0.2032659310802924,3,0.8660254037844386,0.5000000000000001,25
1.694065571748448,-1.3624796400694823,-0.2032659310802924,3,0.9659258262890684,0.2588190451025207,25
1.6071755372856438,-1.285439749787508,-0.2032659310802924,3,1.0,6.123233995736766e-17,25
1.5637305200542408,-1.0748640496834454,-0.2032659310802924,3,0.9659258262890684,-0.2588190451025206,25
1.6071755372856438,-1.0286401155142608,-0.2032659310802924,3,0.8660254037844387,-0.4999999999999998,0
1.5202855028228397,-0.9567362179177517,-0.2032659310802924,3,0.7071067811865476,-0.7071067811865475,0
1.2596153994344252,-0.7975204446683383,-0.2032659310802924,3,0.4999999999999999,-0.8660254037844387,0
1.1510028563559196,-0.6948005909590393,-0.2032659310802924,3,0.258819045102521,-0.9659258262890682,0
0.9120552615832066,-0.5612647811369508,-0.2032659310802924,3,1.2246467991473532e-16,-1.0,0
0.7382751926575981,-0.4534089347421868,-0.2032659310802924,3,-0.2588190451025208,-0.9659258262890684,0
0.542772615116288,-0.3609610664038179,-0.2032659310802924,3,-0.4999999999999997,-0.8660254037844388,0
